"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"BITS","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Transfer?ncia Inteligente em Segundo Plano","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"BluetoothUserService_1b43a1","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Suporte a Usu?rios de Bluetooth_1b43a1","System.ServiceProcess.ServiceController[]",".","BluetoothUserService_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Infraestrutura de Tarefas de Segundo Plano","System.ServiceProcess.ServiceController[]",".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"Browser","System.ServiceProcess.ServiceController[]","False","False","True","Pesquisador de Computadores","System.ServiceProcess.ServiceController[]",".","Browser","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"BTAGService","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Gateway Bluetooth de ?udio","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o AVCTP","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"bthserv","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Suporte a Bluetooth","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"bufserv","System.ServiceProcess.ServiceController[]","False","False","False","PI-Buffer Server","System.ServiceProcess.ServiceController[]",".","bufserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Disabled",,
"bufservX64","System.ServiceProcess.ServiceController[]","False","False","False","PI-Buffer Server x64","System.ServiceProcess.ServiceController[]",".","bufservX64","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Disabled",,
"camsvc","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o do Gerenciador de Acesso de Recurso","System.ServiceProcess.ServiceController[]",".","camsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"CaptureService_1b43a1","System.ServiceProcess.ServiceController[]","False","False","False","CaptureService_1b43a1","System.ServiceProcess.ServiceController[]",".","CaptureService_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"cbdhsvc_1b43a1","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Usu?rio da ?rea de Transfer?ncia_1b43a1","System.ServiceProcess.ServiceController[]",".","cbdhsvc_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","240","Manual",,
"CcmExec","System.ServiceProcess.ServiceController[]","False","True","True","Host de Agente do SMS","System.ServiceProcess.ServiceController[]",".","CcmExec","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Plataforma de Dispositivos Conectados","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CDPUserSvc_1b43a1","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Usu?rio da Plataforma de Dispositivos Conectados_1b43a1","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","240","Automatic",,
"CertPropSvc","System.ServiceProcess.ServiceController[]","False","True","True","Propaga??o de Certificado","System.ServiceProcess.ServiceController[]",".","CertPropSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"CETASvc","System.ServiceProcess.ServiceController[]","False","True","False","Trend Micro Cloud Endpoint Telemetry Service","System.ServiceProcess.ServiceController[]",".","CETASvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"ClickToRunSvc","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o Clique para Executar do Microsoft Office","System.ServiceProcess.ServiceController[]",".","ClickToRunSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"ClipSVC","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o de Licen?as de Cliente (ClipSVC)","System.ServiceProcess.ServiceController[]",".","ClipSVC","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"CloudEndpointService","System.ServiceProcess.ServiceController[]","False","True","False","Cloud Endpoint Service","System.ServiceProcess.ServiceController[]",".","CloudEndpointService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"cloudidsvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de identidade Microsoft Cloud","System.ServiceProcess.ServiceController[]",".","cloudidsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"CmRcService","System.ServiceProcess.ServiceController[]","False","True","True","Controle Remoto do Configuration Manager","System.ServiceProcess.ServiceController[]",".","CmRcService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"com.docker.service","System.ServiceProcess.ServiceController[]","False","True","True","Docker Desktop Service","System.ServiceProcess.ServiceController[]",".","com.docker.service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"COMSysApp","System.ServiceProcess.ServiceController[]","False","False","True","COM+ System Application","System.ServiceProcess.ServiceController[]",".","COMSysApp","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"ConsentUxUserSvc_1b43a1","System.ServiceProcess.ServiceController[]","False","False","False","ConsentUX_1b43a1","System.ServiceProcess.ServiceController[]",".","ConsentUxUserSvc_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"cphs","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Content Protection HECI Service","System.ServiceProcess.ServiceController[]",".","cphs","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"cplspcon","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Content Protection HDCP Service","System.ServiceProcess.ServiceController[]",".","cplspcon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"CredentialEnrollmentManagerUserSvc_1b43a1","System.ServiceProcess.ServiceController[]","False","False","False","CredentialEnrollmentManagerUserSvc_1b43a1","System.ServiceProcess.ServiceController[]",".","CredentialEnrollmentManagerUserSvc_1b43a1","System.ServiceProcess.ServiceController[]",,"Stopped","208","Manual",,
"CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Servi?os de criptografia","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CscService","System.ServiceProcess.ServiceController[]","False","False","False","Arquivos Offline","System.ServiceProcess.ServiceController[]",".","CscService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"CWAUpdaterService","System.ServiceProcess.ServiceController[]","False","True","True","Citrix Workspace Updater Service","System.ServiceProcess.ServiceController[]",".","CWAUpdaterService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","Inicializador do Processo de Servidor DCOM","System.ServiceProcess.ServiceController[]",".","DcomLaunch","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"dcsvc","System.ServiceProcess.ServiceController[]","False","False","False","dcsvc","System.ServiceProcess.ServiceController[]",".","dcsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"debugregsvc","System.ServiceProcess.ServiceController[]","False","False","False","debugregsvc","System.ServiceProcess.ServiceController[]",".","debugregsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"defragsvc","System.ServiceProcess.ServiceController[]","False","False","False","Otimizador de unidade","System.ServiceProcess.ServiceController[]",".","defragsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"DeveloperToolsService","System.ServiceProcess.ServiceController[]","False","False","False","Developer Tools Service","System.ServiceProcess.ServiceController[]",".","DeveloperToolsService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"DeviceAssociationBrokerSvc_1b43a1","System.ServiceProcess.ServiceController[]","False","False","False","DeviceAssociationBroker_1b43a1","System.ServiceProcess.ServiceController[]",".","DeviceAssociationBrokerSvc_1b43a1","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o de Associa??o de Dispositivo","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DeviceInstall","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Instala??o de Dispositivo","System.ServiceProcess.ServiceController[]",".","DeviceInstall","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DevicePickerUserSvc_1b43a1","System.ServiceProcess.ServiceController[]","False","False","False","DevicePicker_1b43a1","System.ServiceProcess.ServiceController[]",".","DevicePickerUserSvc_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"DevicesFlowUserSvc_1b43a1","System.ServiceProcess.ServiceController[]","False","False","False","DevicesFlow_1b43a1","System.ServiceProcess.ServiceController[]",".","DevicesFlowUserSvc_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"DevQueryBroker","System.ServiceProcess.ServiceController[]","False","False","False","Agente de Descoberta em Segundo Plano de DevQuery","System.ServiceProcess.ServiceController[]",".","DevQueryBroker","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Dhcp","System.ServiceProcess.ServiceController[]","False","True","True","Cliente DHCP","System.ServiceProcess.ServiceController[]",".","Dhcp","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o Coletor de Padr?es de Hub de Diagn?stico da Microsoft (R)","System.ServiceProcess.ServiceController[]",".","diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"diagsvc","System.ServiceProcess.ServiceController[]","False","False","False","Diagnostic Execution Service","System.ServiceProcess.ServiceController[]",".","diagsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DiagTrack","System.ServiceProcess.ServiceController[]","False","True","True","Experi?ncias do Usu?rio Conectado e Telemetria","System.ServiceProcess.ServiceController[]",".","DiagTrack","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DialogBlockingService","System.ServiceProcess.ServiceController[]","False","False","False","DialogBlockingService","System.ServiceProcess.ServiceController[]",".","DialogBlockingService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","False","False","True","Exibir Servi?o de Pol?tica","System.ServiceProcess.ServiceController[]",".","DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DisplayEnhancementService","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Aprimoramento de Exibi??o","System.ServiceProcess.ServiceController[]",".","DisplayEnhancementService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DmEnrollmentSvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Registro de Gerenciamento de Dispositivos","System.ServiceProcess.ServiceController[]",".","DmEnrollmentSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"dmwappushservice","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Roteamento de mensagens de envio por Push WAP do Gerenciamento de Dispositivos","System.ServiceProcess.ServiceController[]",".","dmwappushservice","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Automatic",,
"Dnscache","System.ServiceProcess.ServiceController[]","False","False","False","Cliente DNS","System.ServiceProcess.ServiceController[]",".","Dnscache","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DoSvc","System.ServiceProcess.ServiceController[]","False","False","True","Otimiza??o de Entrega","System.ServiceProcess.ServiceController[]",".","DoSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"dot3svc","System.ServiceProcess.ServiceController[]","False","True","True","Configura??o Autom?tica com Fio","System.ServiceProcess.ServiceController[]",".","dot3svc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DPS","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o de Pol?tica de Diagn?stico","System.ServiceProcess.ServiceController[]",".","DPS","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DsmSvc","System.ServiceProcess.ServiceController[]","False","False","False","Gerenciador de Instala??o de Dispositivo","System.ServiceProcess.ServiceController[]",".","DsmSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"DsSvc","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Compartilhamento de Dados","System.ServiceProcess.ServiceController[]",".","DsSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DusmSvc","System.ServiceProcess.ServiceController[]","False","False","True","Uso de Dados","System.ServiceProcess.ServiceController[]",".","DusmSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Eaphost","System.ServiceProcess.ServiceController[]","False","True","True","Protocolo de Autentica??o Extens?vel","System.ServiceProcess.ServiceController[]",".","Eaphost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"edgeupdate","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Update Service (edgeupdate)","System.ServiceProcess.ServiceController[]",".","edgeupdate","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"edgeupdatem","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Update Service (edgeupdatem)","System.ServiceProcess.ServiceController[]",".","edgeupdatem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"EFS","System.ServiceProcess.ServiceController[]","False","False","False","EFS (Encrypting File System)","System.ServiceProcess.ServiceController[]",".","EFS","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"embeddedmode","System.ServiceProcess.ServiceController[]","False","False","False","Modo Incorporado","System.ServiceProcess.ServiceController[]",".","embeddedmode","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"EntAppSvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Gerenciamento de Aplicativos Empresariais","System.ServiceProcess.ServiceController[]",".","EntAppSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"EventLog","System.ServiceProcess.ServiceController[]","False","True","True","Log de Eventos do Windows","System.ServiceProcess.ServiceController[]",".","EventLog","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"EventSystem","System.ServiceProcess.ServiceController[]","False","False","True","COM+ evento do sistema","System.ServiceProcess.ServiceController[]",".","EventSystem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Fax","System.ServiceProcess.ServiceController[]","False","False","False","Fax","System.ServiceProcess.ServiceController[]",".","Fax","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"fdPHost","System.ServiceProcess.ServiceController[]","False","False","False","Host de Provedor da Descoberta de Fun??o","System.ServiceProcess.ServiceController[]",".","fdPHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"FDResPub","System.ServiceProcess.ServiceController[]","False","False","False","Publica??o de Recursos de Descoberta de Fun??o","System.ServiceProcess.ServiceController[]",".","FDResPub","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"fhsvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Hist?rico de Arquivos","System.ServiceProcess.ServiceController[]",".","fhsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"FontCache","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o de Cache de Fontes do Windows","System.ServiceProcess.ServiceController[]",".","FontCache","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"FontCache3.0.0.0","System.ServiceProcess.ServiceController[]","False","True","True","Windows Presentation Foundation Font Cache 3.0.0.0","System.ServiceProcess.ServiceController[]",".","FontCache3.0.0.0","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"FoxitPhantomPDFUpdateService","System.ServiceProcess.ServiceController[]","False","True","True","Foxit PDF Editor Update Service","System.ServiceProcess.ServiceController[]",".","FoxitPhantomPDFUpdateService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"FoxitReaderUpdateService","System.ServiceProcess.ServiceController[]","False","True","True","Foxit PDF Reader Update Service","System.ServiceProcess.ServiceController[]",".","FoxitReaderUpdateService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, InteractiveProcess","Automatic",,
"FrameServer","System.ServiceProcess.ServiceController[]","False","False","False","Servidor de Quadros de C?mera do Windows","System.ServiceProcess.ServiceController[]",".","FrameServer","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"GoogleChromeElevationService","System.ServiceProcess.ServiceController[]","False","False","False","Google Chrome Elevation Service (GoogleChromeElevationService)","System.ServiceProcess.ServiceController[]",".","GoogleChromeElevationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"gpsvc","System.ServiceProcess.ServiceController[]","False","False","True","Cliente da Pol?tica de Grupo","System.ServiceProcess.ServiceController[]",".","gpsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"GraphicsPerfSvc","System.ServiceProcess.ServiceController[]","False","False","False","GraphicsPerfSvc","System.ServiceProcess.ServiceController[]",".","GraphicsPerfSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"gupdate","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o do Google Update (gupdate)","System.ServiceProcess.ServiceController[]",".","gupdate","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"gupdatem","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o do Google Update (gupdatem)","System.ServiceProcess.ServiceController[]",".","gupdatem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"HgClientService","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Cliente do Guardi?o de Host","System.ServiceProcess.ServiceController[]",".","HgClientService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"hidserv","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o de Dispositivos de Interface Humana","System.ServiceProcess.ServiceController[]",".","hidserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"hns","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Rede Host","System.ServiceProcess.ServiceController[]",".","hns","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"HvHost","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o de Host HV","System.ServiceProcess.ServiceController[]",".","HvHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"IBM Notes Diagnostics","System.ServiceProcess.ServiceController[]","False","False","False","Diagn?stico do IBM Notes","System.ServiceProcess.ServiceController[]",".","IBM Notes Diagnostics","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, InteractiveProcess","Disabled",,
